"type","id","identified_by/Identifier/_label","identified_by/Identifier/id"
"HumanMadeObject","1032","1032","https://data.discovernewfields.org/object/1032"
"HumanMadeObject","1065","1065","https://data.discovernewfields.org/object/1065"
"HumanMadeObject","1105","1105","https://data.discovernewfields.org/object/1105"
"HumanMadeObject","3457","3457","https://data.discovernewfields.org/object/3457"
"HumanMadeObject","3521","3521","https://data.discovernewfields.org/object/3521"
"HumanMadeObject","6136","6136","https://data.discovernewfields.org/object/6136"
"HumanMadeObject","6855","6855","https://data.discovernewfields.org/object/6855"
"HumanMadeObject","8407","8407","https://data.discovernewfields.org/object/8407"
"HumanMadeObject","14365","14365","https://data.discovernewfields.org/object/14365"
"HumanMadeObject","14617","14617","https://data.discovernewfields.org/object/14617"
"HumanMadeObject","16168","16168","https://data.discovernewfields.org/object/16168"
"HumanMadeObject","16356","16356","https://data.discovernewfields.org/object/16356"
"HumanMadeObject","16410","16410","https://data.discovernewfields.org/object/16410"
"HumanMadeObject","17425","17425","https://data.discovernewfields.org/object/17425"
"HumanMadeObject","17577","17577","https://data.discovernewfields.org/object/17577"
"HumanMadeObject","20419","20419","https://data.discovernewfields.org/object/20419"
"HumanMadeObject","21137","21137","https://data.discovernewfields.org/object/21137"
"HumanMadeObject","21288","21288","https://data.discovernewfields.org/object/21288"
"HumanMadeObject","24693","24693","https://data.discovernewfields.org/object/24693"
"HumanMadeObject","24892","24892","https://data.discovernewfields.org/object/24892"
"HumanMadeObject","25098","25098","https://data.discovernewfields.org/object/25098"
"HumanMadeObject","33886","33886","https://data.discovernewfields.org/object/33886"
"HumanMadeObject","37383","37383","https://data.discovernewfields.org/object/37383"
"HumanMadeObject","41018","41018","https://data.discovernewfields.org/object/41018"
"HumanMadeObject","41019","41019","https://data.discovernewfields.org/object/41019"
"HumanMadeObject","46950","46950","https://data.discovernewfields.org/object/46950"
"HumanMadeObject","47035","47035","https://data.discovernewfields.org/object/47035"
"HumanMadeObject","49409","49409","https://data.discovernewfields.org/object/49409"
"HumanMadeObject","51330","51330","https://data.discovernewfields.org/object/51330"
"HumanMadeObject","52481","52481","https://data.discovernewfields.org/object/52481"
"HumanMadeObject","55312","55312","https://data.discovernewfields.org/object/55312"
"HumanMadeObject","63355","63355","https://data.discovernewfields.org/object/63355"
"HumanMadeObject","64017","64017","https://data.discovernewfields.org/object/64017"
"HumanMadeObject","64018","64018","https://data.discovernewfields.org/object/64018"
"HumanMadeObject","64019","64019","https://data.discovernewfields.org/object/64019"
"HumanMadeObject","64628","64628","https://data.discovernewfields.org/object/64628"
"HumanMadeObject","67743","67743","https://data.discovernewfields.org/object/67743"
"HumanMadeObject","68180","68180","https://data.discovernewfields.org/object/68180"
"HumanMadeObject","68181","68181","https://data.discovernewfields.org/object/68181"
"HumanMadeObject","68182","68182","https://data.discovernewfields.org/object/68182"
"HumanMadeObject","68903","68903","https://data.discovernewfields.org/object/68903"
"HumanMadeObject","69062","69062","https://data.discovernewfields.org/object/69062"
"HumanMadeObject","69063","69063","https://data.discovernewfields.org/object/69063"
"HumanMadeObject","81052","81052","https://data.discovernewfields.org/object/81052"
"HumanMadeObject","82696","82696","https://data.discovernewfields.org/object/82696"
"HumanMadeObject","85257","85257","https://data.discovernewfields.org/object/85257"
"HumanMadeObject","89163","89163","https://data.discovernewfields.org/object/89163"
"HumanMadeObject","89164","89164","https://data.discovernewfields.org/object/89164"
"HumanMadeObject","89367","89367","https://data.discovernewfields.org/object/89367"
"HumanMadeObject","89368","89368","https://data.discovernewfields.org/object/89368"
"HumanMadeObject","89369","89369","https://data.discovernewfields.org/object/89369"
"HumanMadeObject","90817","90817","https://data.discovernewfields.org/object/90817"
"HumanMadeObject","92158","92158","https://data.discovernewfields.org/object/92158"
"HumanMadeObject","92159","92159","https://data.discovernewfields.org/object/92159"
"HumanMadeObject","92160","92160","https://data.discovernewfields.org/object/92160"
"HumanMadeObject","92384","92384","https://data.discovernewfields.org/object/92384"
"HumanMadeObject","92385","92385","https://data.discovernewfields.org/object/92385"
"HumanMadeObject","92386","92386","https://data.discovernewfields.org/object/92386"
"HumanMadeObject","93739","93739",https://data.discovernewfields.org/object/93739
